description,department,priority
"The local community has noticed that the road has a large pothole at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Road,Critical
Several people have informed the ward office that dirty water is entering houses through the damaged main at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Water,Medium
Several people have informed the ward office that a large crack is spreading across the carriageway at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Road,Medium
"People living nearby explain that a fallen tree is blocking vehicles and emergency access at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Road,Low
"People living nearby explain that a large pile of rubbish is attracting stray animals and insects at the school entrance. The issue is expanding and could cause property damage or a public health problem if delayed. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
"Residents report that a streetlight remains switched off after sunset near the bus stop at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Electricity,Low
"Several people have informed the ward office that the waste collection vehicle has missed several scheduled visits at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Waste,Critical
Several people have informed the ward office that there is no water in the neighborhood at the school entrance. The problem is noticeable but services are still available and nobody is at risk. The problem is clearly visible and has been reported with supporting photographs.,Water,Low
A citizen complaint states that a pipe joint is dripping and has damaged the nearby pavement at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Water,Medium
Several people have informed the ward office that the waste collection has been missed at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Waste,Low
"A citizen complaint states that the power supply has been interrupted across several houses at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
"People living nearby explain that a fallen tree is blocking vehicles and emergency access at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Road,High
The local community has noticed that the road has a large pothole at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Road,Medium
"People living nearby explain that street lights have stopped working along the main road at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
"Residents report that mixed waste is being burned near the apartment entrance at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Waste,Critical
"A citizen complaint states that the bridge railing is broken and creates a fall hazard at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Road,High
"Residents report that the neighborhood has a complete power outage at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
Several people have informed the ward office that dirty water is entering houses through the damaged main at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Water,Medium
"The local community has noticed that the neighborhood has a complete power outage at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
Several people have informed the ward office that there is no water in the neighborhood at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Water,Low
People living nearby explain that the asphalt has collapsed across one side of the road at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Road,Medium
The local community has noticed that the public tap is dry and residents cannot collect water at the school entrance. The problem is noticeable but services are still available and nobody is at risk. The problem is clearly visible and has been reported with supporting photographs.,Water,Low
Residents report that the pedestrian footpath is damaged and difficult to use at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Road,Medium
Residents report that a deep pothole has formed in the lane at the school entrance. The problem is noticeable but services are still available and nobody is at risk. The problem is clearly visible and has been reported with supporting photographs.,Road,Low
"Several people have informed the ward office that there is no electricity in our street at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
The local community has noticed that there is no electricity in our street at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Electricity,Low
People living nearby explain that an exposed cable is hanging dangerously beside the school gate at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Electricity,Low
